               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10272,            0.039901,            0.028616,             0.16924,             0.41882,             0.15649,            0.052147,            0.065485,            0.027197,            0.024231,              0.0775,              0.0025,              0.0025
                   1,            0.070846,            0.035754,            0.022898,             0.45417,             0.56472,              0.4495,             0.17445,            0.063336,            0.019926,            0.016174,            0.054092,           0.0050916,           0.0050916
                   2,            0.066987,            0.029228,            0.016224,             0.44656,             0.51558,             0.44234,             0.16988,            0.069046,            0.014814,           0.0078061,            0.030675,           0.0076746,           0.0076746
                   3,            0.067848,            0.024561,           0.0081831,             0.36592,             0.72019,             0.45418,             0.21411,            0.059659,            0.013755,           0.0033798,           0.0099505,           0.0099505,           0.0099505
                   4,            0.062771,            0.023217,           0.0059761,             0.54676,             0.64371,             0.62032,             0.25545,            0.061114,            0.013175,           0.0026256,           0.0099505,           0.0099505,           0.0099505
                   5,            0.057901,            0.021703,           0.0045481,             0.67678,             0.81096,             0.79901,             0.33515,            0.043714,            0.012561,           0.0019347,            0.009934,            0.009934,            0.009934
                   6,            0.053479,            0.020461,           0.0032967,             0.74541,             0.89478,             0.88939,             0.34521,            0.041672,            0.011682,           0.0015281,           0.0099175,           0.0099175,           0.0099175
                   7,            0.046101,            0.018837,           0.0027659,             0.64004,             0.88422,             0.74821,             0.36904,             0.04289,             0.01227,            0.001682,            0.009901,            0.009901,            0.009901
                   8,            0.044656,            0.019039,           0.0025308,             0.73176,             0.92509,             0.93064,             0.41949,            0.039133,            0.011257,           0.0013555,           0.0098845,           0.0098845,           0.0098845
                   9,            0.041645,            0.018501,           0.0020452,             0.76855,             0.95858,             0.91242,             0.53383,            0.032096,            0.010459,           0.0012576,            0.009868,            0.009868,            0.009868
                  10,            0.040617,            0.017877,           0.0020368,             0.93925,              0.9797,             0.97644,              0.5723,            0.031422,            0.010302,           0.0014043,           0.0098515,           0.0098515,           0.0098515
